Nome,cargo.partido,pontuação inicial,presença,privilégios,participação,processos,outros,qualidade,pontuação
Evandro Costa Milhomen (Evandro Milhomen),Deputado Federal - PCdoB,200,-15,-40,0,0,10,-155,0
Fernando Bezerra de Souza Coelho Filho (Fernando Coelho Filho),Deputado Federal - PSB,200,-40,-30,0,0,20,-148,2
Lázaro Botelho Martins (Lázaro Botelho),Deputado Federal - PP,200,50,-25,0,-75,10,-158,2
Manuel Rosa da Silva (Manuel Rosa Neca),Deputado Federal - PR,200,40,95,0,-325,0,-7,3
Benedito de Lira (Benedito de Lira),Senador - PP,200,Não disponível,35,-10,0,-30,-190,5
Dilceu João Sperafico (Dilceu Sperafico),Deputado Federal - PP,200,55,-20,0,-150,-10,-70,5
Roberto Pereira de Britto (Roberto Britto),Deputado Federal - PP,200,65,-35,0,-125,0,-100,5
Pedro Novais Lima (Pedro Novais),Deputado Federal - PMDB,200,-30,-20,0,-100,-20,-24,6
Angelo Carlos Vanhoni (Angelo Vanhoni),Deputado Federal - PT,200,-75,-30,0,0,20,-108,7
Alexandre Rubio Roso (Alexandre Roso),Deputado Federal - PSB,200,-50,0,0,-125,0,-17,8
Johnathan Pereira de Jesus (Jhonatan de Jesus),Deputado Federal - PRB,200,-85,-10,0,-125,20,9,9
Gladson de Lima Cameli (Gladson Cameli),Deputado Federal - PP,200,-35,-40,0,-25,0,-90,10
Marinha Célia Rocha Raupp de Matos (Marinha Raupp),Deputado Federal - PMDB,200,10,-25,0,-100,0,-75,10
Wellington Antonio Fagundes (Wellington Fagundes),Deputado Federal - PR,200,-55,-5,0,-100,10,-39,11
Henrique Eduardo Lyra Alves (Henrique Eduardo Alves),Deputado Federal - PMDB,200,5,-30,0,-100,0,-61,14
Carlos Roberto Massa Júnior (Ratinho Junior),Deputado Federal - PSC,200,-45,10,-10,-100,-10,-30,15
Alex Canziani Silveira (Alex Canziani),Deputado Federal - PTB,200,20,-25,0,-100,-20,-59,16
José Carlos Vieira (José Carlos Vieira),Deputado Federal - PR,200,0,75,0,-350,0,91,16
Epitácio Cafeteira Afonso Pereira (Epitácio Cafeteira),Senador - PTB,200,Não disponível,-15,0,0,-60,-108,17
Givaldo de Sá Gouveia (Givaldo Carimbão),Deputado Federal - PROS,200,-70,-20,0,0,-20,-73,17
Assis Miguel do Couto (Assis do Couto),Deputado Federal - PT,200,-30,-45,0,0,10,-116,19
Pedro Eugênio de Castro Toledo Cabral (Pedro Eugênio),Deputado Federal - PT,200,10,-40,0,-25,0,-126,19
Paulo Sérgio Paranhos de Magalhães (Paulo Magalhães),Deputado Federal - PSD,200,35,-35,0,-250,0,70,20
Reginaldo Lázaro de Oliveira Lopes (Reginaldo Lopes),Deputado Federal - PT,200,-25,-20,0,0,0,-135,20
Vicente Alves de Oliveira (Vicentinho Alves),Senador - PR,200,Não disponível,25,0,-50,-20,-135,20
José Linhares Ponte (José Linhares),Deputado Federal - PP,200,-20,-30,0,0,-30,-99,21
Sílvio Serafim Costa (Silvio Costa),Deputado Federal - PSC,200,-45,-45,0,0,10,-99,21
Nilton Balbino (Nilton Capixaba),Deputado Federal - PTB,200,-15,-5,0,-225,10,57,22
Elcione Therezinha Zahluth Barbalho (Elcione Barbalho),Deputado Federal - PMDB,200,-65,-50,0,0,20,-82,23
José Mentor Guilherme de Mello Netto (José Mentor),Deputado Federal - PT,200,-75,-15,0,0,10,-97,23
Lídice da Mata E Souza (Lídice da Mata),Senador - PSB,200,Não disponível,-15,0,-25,-10,-127,23
Janete Maria Góes Capiberibe (Janete Capiberibe),Deputado Federal - PSB,200,-20,-20,0,-50,10,-96,24
Lael Vieira Varella (Lael Varella),Deputado Federal - DEM,200,-100,-30,0,0,0,-46,24
Francisco Ariosto Holanda (Ariosto Holanda),Deputado Federal - PROS,200,20,-35,0,-25,0,-135,25
Júlio César de Carvalho Lima (Júlio Cesar),Deputado Federal - PSD,200,50,-40,0,-175,0,-10,25
Osmar Ribeiro de Almeida Júnior (Osmar Júnior),Deputado Federal - PCdoB,200,-15,-25,0,-25,10,-120,25
