CANDIDATO,CARGO,PONTUACAO INICIAL,PRESENCA,PRIVILEGIOS,PARTICIPACAO,PROCESSOS,OUTROS,QUALIDADE,PONTUACAO,DISPESA,UF
waldenor alves pereira filho (waldenor pereira),Deputado Federal - PT,200,25,10,0,0,0,8,243,236456,BA
vilson luiz covatti (vilson covatti),Deputado Federal - PP,200,-10,-45,0,0,20,-71,94,612215,RS
leopoldo costa meyer (leopoldo meyer),Deputado Federal - PSB,200,70,25,0,-100,0,-54,141,154089,PR
ronaldo fonseca de souza (ronaldo fonseca),Deputado Federal - PROS,200,75,35,0,0,-10,41,341,1238498,DF
jorge silva (dr. jorge silva),Deputado Federal - PROS,200,10,15,0,0,-20,19,224,279935,ES
lucia vania abrao (lucia vania),Senador - PSDB,200,Nao disponivel,-30,0,-25,-10,107,242,6234530,GO
angela maria gomes portela (angela portela),Senador - PT,200,Nao disponivel,-30,0,0,10,-147,33,1451120,RR
nelson marquezelli (nelson marquezelli),Deputado Federal - PTB,200,55,-25,-10,-50,-10,-11,149,2201500,SP
camilo cola (camilo cola),Deputado Federal - PMDB,200,-5,80,0,-50,-10,-78,137,1454172,ES
arlindo chignalia junior (arlindo chinaglia),Deputado Federal - PT,200,35,25,20,0,20,121,421,3866388,SP
maria auxiliadora seabra rezende (professora dorinha seabra rezende),Deputado Federal - DEM,-,-,-,-,-,-,-,NR,683125,TO
adriano eli correa (eli correa filho),Deputado Federal - DEM,200,25,40,0,0,0,61,326,141882,SP
antonio luiz paranhos ribeiro leite de brito (antonio brito),Deputado Federal - PTB,200,60,10,0,0,20,18,308,738943,BA
carlos eduardo vieira da cunha (vieira da cunha),Deputado Federal - PDT,200,30,-30,0,0,20,-142,78,657562,RS
antonio carlos biffi (biffi),Deputado Federal - PT,200,5,-35,0,0,10,24,204,947365,MS
hugo leal melo da silva (hugo leal),Deputado Federal - PROS,-,-,-,-,-,-,-,NR,1526018,RJ
lael vieira varella (lael varella),Deputado Federal - DEM,200,-100,-30,0,0,0,-46,24,1058762,MG
nelson marchezan junior (nelson marchezan junior),Deputado Federal - PSDB,200,25,5,0,0,20,22,272,1262319,RS
jose benito priante junior (jose priante),Deputado Federal - PMDB,200,-85,60,0,0,10,45,230,257378,PA
luci teresinha koswoski choinacki (luci choinacki),Deputado Federal - PT,200,-25,0,0,0,10,-22,163,472608,SC
helio batista dos santos (helio santos),Deputado Federal - PSDB,200,15,5,0,0,0,84,304,327663,MA
eduardo francisco sciarra (eduardo sciarra),Deputado Federal - PSD,200,55,-35,0,0,-10,113,323,853453,PR
paulo fernando feijo torres (paulo feijo),Deputado Federal - PR,-,-,-,-,-,-,-,NR,94244,RJ
alexandre rubio roso (alexandre roso),Deputado Federal - PSB,200,-50,0,0,-125,0,-17,8,93167,RS
claudio alberto castelo branco puty (claudio puty),Deputado Federal - PT,200,25,5,0,-250,20,42,42,598744,PA
dilceu joao sperafico (dilceu sperafico),Deputado Federal - PP,200,55,-20,0,-150,-10,-70,5,898946,PR
vicente candido da silva (vicente candido),Deputado Federal - PT,200,25,10,0,-25,20,6,236,3850884,SP
paulo cesar da guia almeida (dr. paulo cesar),Deputado Federal - PR,200,-25,-30,0,-25,-10,28,138,43095,RJ
lauriete rodrigues (lauriete),Deputado Federal - PSC,200,25,45,-10,0,10,21,291,197233,ES
vilmar da silva rocha (vilmar rocha),Deputado Federal - PSD,200,-70,90,0,-25,0,21,216,1554682,GO
marco antonio tebaldi (marco tebaldi),Deputado Federal - PSDB,-,-,-,-,-,-,-,NR,674495,SC
jose da cruz marinho (zequinha marinho),Deputado Federal - PSC,-,-,-,-,-,-,-,NR,565938,PA
benedita souza da silva sampaio (benedita da silva),Deputado Federal - PT,200,10,20,0,-125,20,11,136,773372,RJ
otavio santos silva leite (otavio leite),Deputado Federal - PSDB,200,10,-20,0,-25,10,111,286,1424677,RJ
jose agripino maia (jose agripino),Senador - DEM,200,Nao disponivel,-25,-10,0,10,67,242,4873470,RN
dionilso mateus marcon (marcon),Deputado Federal - PT,200,-50,10,0,-75,10,-11,84,244757,RS
roberto pereira de britto (roberto britto),Deputado Federal - PP,200,65,-35,0,-125,0,-100,5,338562,BA
jaqueline maria roriz (jaqueline roriz),Deputado Federal - PMN,-,-,-,-,-,-,-,NR,669131,DF
rodrigo batista de castro (rodrigo de castro),Deputado Federal - PSDB,200,-70,-15,0,0,0,98,213,3343918,MG
felipe catalao maia (felipe maia),Deputado Federal - DEM,200,5,-15,10,0,10,189,399,1623942,RN
fabio loureiro souto (fabio souto),Deputado Federal - DEM,200,40,-45,0,0,10,144,349,609501,BA
carlos roberto massa junior (ratinho junior),Deputado Federal - PSC,200,-45,10,-10,-100,-10,-30,15,1932065,PR
cesar hanna halum (cesar halum),Deputado Federal - PRB,200,20,-5,0,-100,0,31,146,575495,TO
vitor penido de barros (vitor penido),Deputado Federal - DEM,-,-,-,-,-,-,-,NR,1024884,MG
luiz hiloshi nishimori (luiz nishimori),Deputado Federal - PR,200,45,0,0,-25,10,60,290,234563,PR
carlos magno ramos (carlos magno),Deputado Federal - PP,-,-,-,-,-,-,-,NR,867722,RO
luiz fernando arantes machado (luiz fernando machado),Deputado Federal - PSDB,200,10,15,0,-50,10,16,201,795457,SP
alfredo pereira do nascimento (alfredo nascimento),Senador - PR,-,Nao disponivel,-,-,-,-,-,NR,10434605,AM
rodrigo bethlem fernandes (rodrigo bethlem),Deputado Federal - PMDB,200,-55,80,0,0,0,8,233,2960636,RJ
jose luiz de franca penna (penna),Deputado Federal - PV,200,60,0,0,-50,10,-22,198,646355,SP
afonso bandeira florence (afonso florence),Deputado Federal - PT,200,45,35,0,-100,20,-16,184,441005,BA
glauber de medeiros braga (glauber braga),Deputado Federal - PSB,200,35,-5,0,0,20,-57,193,281098,RJ
luiz henrique mandetta (mandetta),Deputado Federal - DEM,200,20,5,-10,0,20,19,254,1104506,MS
fabio de almeida reis (fabio reis),Deputado Federal - PMDB,200,50,55,0,0,10,16,331,414688,SE
julio cesar delgado (julio delgado),Deputado Federal - PSB,200,50,-30,20,-100,0,-62,78,1452714,MG
arolde de oliveira (arolde de oliveira),Deputado Federal - PSD,200,20,-5,0,0,-10,28,233,475913,RJ
danrlei de deus hinterholz (danrlei de deus hinterholz),Deputado Federal - PSD,200,35,25,0,0,0,33,293,113528,RS
bonifacio jose tamm de andrada (bonifacio de andrada),Deputado Federal - PSDB,200,-80,25,-10,-125,-20,46,36,1199718,MG
esmerino neri batista filho (miriquinho batista),Deputado Federal - PT,200,0,0,0,-175,20,0,45,347916,PA
alex canziani silveira (alex canziani),Deputado Federal - PTB,200,20,-25,0,-100,-20,-59,16,971881,PR
fernando dantas ferro (fernando ferro),Deputado Federal - PT,200,45,-35,0,-25,10,-35,160,758251,PE
hermes parcianello (hermes parcianello),Deputado Federal - PMDB,200,-40,-25,0,0,10,24,169,264775,PR
jose wilson santiago filho (wilson filho),Deputado Federal - PTB,200,-5,5,0,0,20,-12,208,394690,PB
jandira feghali (jandira feghali),Deputado Federal - PCdoB,200,-25,25,-10,0,20,-21,189,1691197,RJ
aureo lidio moreira ribeiro (aureo),Deputado Federal - SDD,200,0,15,0,0,0,-25,190,132307,RJ
jose alfonso ebert hamm (afonso hamm),Deputado Federal - PP,200,10,-35,0,0,20,-93,102,607848,RS
jose nunes soares (jose nunes),Deputado Federal - PSD,200,10,5,0,0,0,54,269,381740,BA
david samuel alcolumbre tobelem (davi alcolumbre),Deputado Federal - DEM,200,-35,-25,0,0,-10,126,256,141097,AP
josias gomes da silva (josias gomes),Deputado Federal - PT,200,0,5,0,-100,0,-2,103,476767,BA
marco aurelio spall maia (marco maia),Deputado Federal - PT,200,-5,-15,0,-50,10,-48,92,1270721,RS
marcio carlos marinho (marcio marinho),Deputado Federal - PRB,200,15,-45,0,0,0,9,179,170730,BA
sebastiao siba machado oliveira (siba machado),Deputado Federal - PT,200,0,5,0,0,20,25,250,490231,AC
antonio balhmann cardoso nunes filho (antonio balhmann),Deputado Federal - PROS,-,-,-,-,-,-,-,NR,1189811,CE
givaldo de sa gouveia (givaldo carimbao),Deputado Federal - PROS,200,-70,-20,0,0,-20,-73,17,579104,AL
jose antonio machado reguffe (reguffe),Deputado Federal - PDT,200,100,95,60,-25,20,68,518,99220,DF
luciano de souza castro (luciano castro),Deputado Federal - PR,200,-20,-25,0,0,-30,16,141,1041527,RR
marcio henrique junqueira pereira (marcio junqueira),Deputado Federal - PROS,200,5,10,0,-225,-50,135,75,357850,RR
jacob alfredo stoffels kaefer (alfredo kaefer),Deputado Federal - PSDB,200,-10,-30,0,-225,20,117,72,3840214,PR
lourival mendes da fonseca filho (lourival mendes),Deputado Federal - PTdoB,200,15,10,20,-100,-10,-39,96,137811,MA
weverton rocha marques de sousa (weverton rocha),Deputado Federal - PDT,-,-,-,-,-,-,-,NR,266650,MA
joao carlos siqueira (padre joao),Deputado Federal - PT,200,10,10,10,0,20,-1,249,605232,MG
vanderlei siraque (vanderlei siraque),Deputado Federal - PT,200,55,30,0,0,20,5,310,384680,SP
roberto joao pereira freire (roberto freire),Deputado Federal - PPS,200,-35,15,0,0,0,-1,179,1394143,SP
paulo roberto bauer (paulo bauer),Senador - PSDB,-,Nao disponivel,-,-,-,-,-,NR,1730801,SC
luiz otavio oliveira campos (luiz otavio),Deputado Federal - PMDB,200,20,85,0,-125,-10,4,174,537063,PA
alexandre leite da silva (alexandre leite),Deputado Federal - DEM,200,70,25,10,-100,10,77,292,2770325,SP
antonia lucileia cruz ramos camara (antonia lucia),Deputado Federal - PSC,-,-,-,-,-,-,-,NR,370114,AC
walter da rocha tosta (walter tosta),Deputado Federal - PSD,200,-80,10,0,0,0,-31,99,266514,MG
joao rodrigues (joao rodrigues),Deputado Federal - DEM,-,-,-,-,-,-,-,NR,627687,SC
atila sidney lins albuquerque (atila lins),Deputado Federal - PSD,200,-25,-45,-20,0,-20,-52,38,386472,AM
nilson pinto de oliveira (nilson pinto),Deputado Federal - PSDB,200,-165,15,0,0,10,67,127,538185,PA
adilson soares (dr. adilson soares),Deputado Federal - PR,200,-40,-10,-10,0,10,-97,53,414325,RJ
francisco danilo bastos forte (danilo forte),Deputado Federal - PMDB,200,45,0,0,-100,20,42,207,948883,CE
otoniel carlos de lima (otoniel lima),Deputado Federal - PRB,200,40,0,0,-100,-20,12,132,166517,SP
mauro mariani (mauro mariani),Deputado Federal - PMDB,-,-,-,-,-,-,-,NR,819844,SC
sueli rangel silva vidigal (sueli vidigal),Deputado Federal - PDT,-,-,-,-,-,-,-,NR,1476652,ES
newton cardoso (newton cardoso),Deputado Federal - PMDB,-,-,-,-,-,-,-,NR,2264077,MG
abelardo luiz lupion mello (abelardo lupion),Deputado Federal - DEM,-,-,-,-,-,-,-,NR,1587529,PR
jose pedro goncalves taques (pedro taques),Senador - PDT,200,Nao disponivel,25,70,0,20,27,342,923415,MT
joseli angelo agnolin (angelo agnolin),Deputado Federal - PDT,200,55,0,0,-75,-10,15,185,835105,TO
luiz roberto de albuquerque (beto albuquerque),Deputado Federal - PSB,200,10,30,0,-50,20,-68,142,1207903,RS
rodrigo garcia (rodrigo garcia),Deputado Federal - DEM,200,-15,90,-10,-100,20,-6,179,2075977,SP
jorge wicks corte real (jorge corte real),Deputado Federal - PTB,200,-30,5,0,0,20,-8,187,871948,PE
candido elpidio de souza vaccarezza (candido vaccarezza),Deputado Federal - PT,200,-35,-20,0,0,20,-96,69,4629270,SP
carlos alberto rolim zarattini (carlos zarattini),Deputado Federal - PT,200,25,-35,0,0,0,-122,68,3737929,SP
jose humberto soares (jose humberto),Deputado Federal - PHS,200,45,15,0,-50,10,5,225,343104,MG
joao campos de araujo (joao campos),Deputado Federal - PSDB,200,-5,-25,0,0,20,95,285,407079,GO
olavo bilac pinto neto (bilac pinto),Deputado Federal - PR,200,-5,50,0,-100,-20,-72,53,1523410,MG
erika juca kokay (erika kokay),Deputado Federal - PT,200,85,30,0,-125,20,5,215,606064,DF
valdivino jose de oliveira (valdivino de oliveira),Deputado Federal - PSDB,-,-,-,-,-,-,-,NR,2456477,GO
carlos eduardo de souza braga (eduardo braga),Senador - PMDB,-,Nao disponivel,-,-,-,-,-,NR,3970734,AM
efraim de araujo morais filho (efraim filho),Deputado Federal - DEM,200,20,-45,0,0,0,98,273,267324,PB
angelo carlos vanhoni (angelo vanhoni),Deputado Federal - PT,200,-75,-30,0,0,20,-108,7,813712,PR
maria de fatima bezerra (fatima bezerra),Deputado Federal - PT,200,15,-35,0,0,20,2,202,433396,RN
joao sandes junior (sandes junior),Deputado Federal - PP,-,-,-,-,-,-,-,NR,1366500,GO
mauricio quintella malta lessa (mauricio quintella lessa),Deputado Federal - PR,-,-,-,-,-,-,-,NR,689612,AL
joao alberto de souza (joao alberto souza),Senador - PMDB,200,Nao disponivel,20,0,0,10,-12,218,2266125,MA
jose de araujo mendonca sobrinho (mendonca prado),Deputado Federal - DEM,200,-25,-50,0,0,10,119,254,279056,SE
roberto alves de lucena (roberto de lucena),Deputado Federal - PV,200,75,5,0,0,0,-5,275,94373,SP
fernando de souza flexa ribeiro (flexa ribeiro),Senador - PSDB,200,Nao disponivel,-55,0,0,20,269,434,3348273,PA
jose silva soares (ze silva),Deputado Federal - PDT,200,15,40,0,-25,10,-18,222,876831,MG
raul da silva lima sobrinho (raul lima),Deputado Federal - PP,200,-35,-5,0,-25,0,35,170,241781,RR
roberto sergio ribeiro coutinho teixeira (roberto teixeira),Deputado Federal - PP,200,25,10,0,0,0,3,238,1503406,PE
aloysio nunes ferreira filho (aloysio nunes ferreira),Senador - PSDB,200,Nao disponivel,25,-10,0,0,129,344,6240726,SP
amauri santos teixeira (amauri teixeira),Deputado Federal - PT,200,65,25,0,0,20,13,323,370505,BA
odilio balbinotti (odilio balbinotti),Deputado Federal - PMDB,200,-15,0,0,-25,-50,-72,38,1433277,PR
armando de queiroz monteiro neto (armando monteiro),Senador - PTB,200,Nao disponivel,-10,0,0,0,-98,92,6609776,PE
joao alberto rodrigues capiberibe (joao capiberibe),Senador - PSB,200,Nao disponivel,-5,10,-75,10,46,186,190118,AP
setimo waquim (professor setimo),Deputado Federal - PMDB,200,-40,-35,0,0,20,-65,80,454510,MA
osmar ribeiro de almeida junior (osmar junior),Deputado Federal - PCdoB,200,-15,-25,0,-25,10,-120,25,647705,PI
paulo roberto gomes mansur (beto mansur),Deputado Federal - PRB,-,-,-,-,-,-,-,NR,1381170,SP
jose renan vasconcelos calheiros filho (renan filho),Deputado Federal - PMDB,200,-65,5,-20,-125,20,50,65,570749,AL
joao carlos paolilo bacelar filho (joao carlos bacelar),Deputado Federal - PR,-,-,-,-,-,-,-,NR,303369,BA
jose carlos becker de oliveira e silva (zeca dirceu),Deputado Federal - PT,200,0,5,0,0,20,8,233,1697820,PR
jose arnon cruz bezerra de menezes (arnon bezerra),Deputado Federal - PTB,-,-,-,-,-,-,-,NR,548610,CE
jose henrique oliveira (henrique oliveira),Deputado Federal - SDD,200,-10,-5,0,-100,-40,27,72,453147,AM
nilmario de miranda (nilmario miranda),Deputado Federal - PT,200,-15,60,0,0,20,-8,257,416459,MG
mara cristina gabrilli (mara gabrilli ),Deputado Federal - PSDB,200,-40,15,0,0,20,11,206,980773,SP
jose eleonildo soares (pinto itamaraty),Deputado Federal - PSDB,200,-95,-40,0,0,10,139,214,411073,MA
francisco vieira sampaio (chico das verduras),Deputado Federal - PRP,200,75,35,10,-325,-10,50,35,55855,RR
henrique fontana junior (henrique fontana),Deputado Federal - PT,-,-,-,-,-,-,-,NR,927209,RS
magno pereira malta (magno malta),Senador - PR,-,Nao disponivel,-,-,-,-,-,NR,2670066,ES
nelson meurer (nelson meurer),Deputado Federal - PP,200,35,-35,-10,0,-40,-86,64,908527,PR
felix de almeida mendonca junior (felix mendonca junior),Deputado Federal - PDT,200,80,15,0,-75,10,27,257,1086879,BA
cleber verde cordeiro mendes (cleber verde),Deputado Federal - PRB,200,5,-35,0,-50,0,-85,35,303670,MA
hugo motta wanderley da nobrega (hugo motta),Deputado Federal - PMDB,200,25,0,0,0,10,13,248,154273,PB
henrique eduardo lyra alves (henrique eduardo alves),Deputado Federal - PMDB,200,5,-30,0,-100,0,-61,14,3203583,RN
ozanilda gondim vital do rego (nilda gondim),Deputado Federal - PMDB,200,35,10,0,-25,10,96,326,422524,PB
antonio carlos valadares (antonio carlos valadares),Senador - PSB,-,Nao disponivel,-,-,-,-,-,NR,526848,SE
jean wyllys de matos santos (jean wyllys),Deputado Federal - PSOL,200,20,20,10,0,20,-69,201,20717,RJ
maria do socorro jo moraes (jo moraes),Deputado Federal - PCdoB,200,60,-20,0,0,20,-150,110,689133,MG
luiz sergio nobrega de oliveira (luiz sergio),Deputado Federal - PT,200,5,10,0,0,10,-88,137,1466774,RJ
delcidio do amaral gomez (delcidio do amaral),Senador - PT,200,Nao disponivel,-50,-10,-25,10,77,202,5782684,MS
jose olimpio silveira moraes (missionario jose olimpio),Deputado Federal - PP,200,-25,10,0,0,0,4,189,109745,SP
maria do rosario nunes (maria do rosario),Deputado Federal - PT,200,-85,45,-10,-25,-10,-21,94,785809,RS
wladimir afonso da costa rabelo (wladimir costa),Deputado Federal - SDD,-,-,-,-,-,-,-,NR,424446,PA
jose geraldo torres da silva (ze geraldo),Deputado Federal - PT,-,-,-,-,-,-,-,NR,1258594,PA
edson sampaio pimenta (edson pimenta),Deputado Federal - PSD,200,-10,0,0,-25,0,14,179,540857,BA
jeronimo pizzolotto goergen (jeronimo goergen),Deputado Federal - PP,200,5,0,0,-100,10,34,149,687819,RS
sandra maria da escossia rosado (sandra rosado),Deputado Federal - PSB,200,-45,-50,0,0,10,-81,34,587146,RN
aguinaldo velloso borges ribeiro (aguinaldo ribeiro),Deputado Federal - PP,200,20,80,0,-25,20,-4,291,392848,PB
gabriel benedito issaac chalita (gabriel chalita),Deputado Federal - PMDB,200,-10,30,0,-125,0,9,104,2036948,SP
maria lucia prandi gomes (maria lucia prandi),Deputado Federal - PT,200,0,85,0,0,10,-5,290,280282,SP
anderson ferreira rodrigues (anderson ferreira),Deputado Federal - PR,200,-40,5,0,0,10,28,203,131622,PE
assis flavio da silva melo (assis melo),Deputado Federal - PCdoB,200,10,0,0,0,10,-37,183,262706,RS
alceu moreira da silva (alceu moreira),Deputado Federal - PMDB,-,-,-,-,-,-,-,NR,659994,RS
luiz albuquerque couto (luiz couto),Deputado Federal - PT,200,85,-15,0,0,20,-97,193,514829,PB
ronaldo miro zulke (ronaldo zulke),Deputado Federal - PT,200,0,5,0,0,0,-24,181,1113994,RS
andre luis dantas ferreira (andre moura),Deputado Federal - PSC,-,-,-,-,-,-,-,NR,279908,SE
janete maria goes capiberibe (janete capiberibe),Deputado Federal - PSB,200,-20,-20,0,-50,10,-96,24,153260,AP
luiz alberto silva dos santos (luiz alberto),Deputado Federal - PT,200,45,-40,0,0,0,0,205,674924,BA
lucio dutra vale (lucio vale),Deputado Federal - PR,200,30,-15,0,0,20,-85,150,611467,PA
